Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,
37477,ZUBLIN,INTERNATIONAL,,,,,,,
GMBH,CHILE,SPA,,,,,,,
37478,76.606.890-1,SOC,H,Q,B,Y,CIA,LTDA,2025-07-24
37479,77.556.124-6,CONDUCTORES,LITORAL,2025-07-24,,,,,
37480,76.607.224-0,2025-07-24,,,,,,,
37481,77.556.241-2,2025-07-24,,,,,,,
37482,76.607.472-3,INGECOR,SPA,2025-07-24,,,,,
37483,77.556.422-9,FRH,SERVICIOS,SPA,2025-07-24,,,,
Arquitecto,Agustin,Rojas,,,,,,,
37484,76.607.823-0,2025-07-24,,,,,,,
37485,77.556.705-8,VALENTHINA,SPA,2025-07-24,,,,,
37486,76.607.937-7,2025-07-24,,,,,,,
37487,77.557.184-5,2025-07-24,,,,,,,
