Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
78.099.801-6,FRT,SPA,2025-07-24,,,
86818,77.200.240-8,2025-07-24,,,,
SANTA,MARIA,LIMITADA,,,,
86819,79.998.980-8,PAPELES,OMEGA,2025-07-24,,
VENTA,DE,INSUMOS,,,,
LORENA,MATILDE,VIDAL,,,,
86820,78.091.027-5,PAREDES,EMPRESA,2025-07-24,,
86821,78.100.384-0,PERSONALIZATELO,SPA,2025-07-24,,
86822,77.061.417-1,Inversiones,Valdivia,SpA,2025-07-24,
86823,77.200.245-9,2025-07-24,,,,
86824,77.619.283-K,2025-07-24,,,,
86825,78.030.856-7,ALADAR,SOLUTIONS,SPA,2025-07-24,
SOCIEDAD,DOUGLAS,Y,,,,
86826,78.072.805-1,2025-07-24,,,,
