Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
QUALTEK,SPA,2025-07-24,,,,,,,
75370,CAMBIA,STUDIO,SPA,2025-07-24,,,,,
75371,VIAJES,ORO,VERDE,SPA,2025-07-24,,,,
75372,CONTROL,DE,PLAGAS,ALFREDO,MUÑOZ,JARAMILLO,E.I.R.L.,2025-07-24,
75373,MR,CLIMA,SPA,2025-07-24,,,,,
ALQUILER,DE,MAQUINARIA,Y,EQUIPO,"AGROPECUARIO,",,,,
75374,"FORESTAL,",DE,CONSTRUCCIÓN,E,ING.,"CIVIL,",SIN,OPERARIOS,2025-07-24
ALBERT,EDUARDO,MELLADO,TORRES,E.I.R.L.,,,,,
75375,EVENTOS,JAVIN,SPA,2025-07-24,,,,,
75376,CONSTRUCTORA,CIMOL,SPA,2025-07-24,,,,,
75377,SERVICIOS,EN,SALUD,ONCOLOGIA,VALDIVIA,LIMITADA,2025-07-24,,
75378,COMERCIALIZADORA,LARRAIN,Y,CIA,LTDA,2025-07-24,,,
75379,ALM,SPA,2025-07-24,,,,,,
