Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
70001,76.659.402-6,VC,clima,Spa,2025-07-24,,,,,
70002,77.290.162-3,IDELUX,SPA,2025-07-24,,,,,,
70003,77.360.141-0,EMPRESA,MAVAT,SPA,2025-07-24,,,,,
DUSAN,PERVAN,LA,PAZ,&,,,,,,
CIA,EMPRESA,INDIVIDUAL,,,,,,,,
70004,76.660.303-3,2025-07-24,,,,,,,,
70005,77.424.020-9,Gráfica,Nacional,Ltda.,2025-07-24,,,,,
70006,77.270.374-0,PROAMCO,AGRICOLA,SPA,2025-07-24,,,,,
70007,76.290.642-2,2025-07-24,,,,,,,,
70008,76.860.819-9,RORAIMA,DIGITAL,LTDA,2025-07-24,,,,,
NORMA,ROSA,TORRES,,,,,,,,
70009,77.271.132-8,2025-07-24,,,,,,,,
PASTELERIA,Y,GELATERIA,,,,,,,,
70010,77.877.813-0,FERNÁNDEZ,PONCE,E.I.R.,2025-07-24,,,,,
