Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
73968,PAVIMENTACION,SUR,,,,,
73969,77.576.663-8,QUIERO,MEJORAR,SPA,2025-07-24,,
73970,76.856.676-3,2025-07-24,,,,,
CONSTRUCTORA,VSD,SPA,,,,,
BOZA,CENTRO,MEDICO,Y,,,,
73971,77.005.264-5,LABORATORIO,CLINICO,2025-07-24,,,
CENTRO,DE,CIRUGIA,,,,,
73972,77.558.235-9,2025-07-24,,,,,
73973,77.576.795-2,2025-07-24,,,,,
73974,76.473.000-3,COMUNICACIONES,2025-07-24,,,,
73975,77.466.480-7,EXPORTADORA,CASINO,2025-07-24,,,
73976,77.729.651-5,2025-07-24,,,,,
Producción,de,eventos,,,,,
73977,76.473.104-2,Pablo,A.,Riquelme,C.,E.I.R.,2025-07-24
73978,77.486.573-K,AURIS,MEDICA,SPA,2025-07-24,,
