Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
105585,FARMACIAS,EL,AHORRO,,,,
105586,77.800.719-3,MAESTRANZA,L,Y,M,SPA,2025-07-24
105587,77.801.380-0,SEVELEC,SPA,2025-07-24,,,
105588,77.801.508-0,PROFESIONALES,2025-07-24,,,,
105589,77.802.607-4,2025-07-24,,,,,
105590,77.802.935-9,CONSTRUCTORA,Q-B,SPA,2025-07-24,,
105591,77.804.192-8,2025-07-24,,,,,
105592,77.804.315-7,ESTRATÉGICAS,2025-07-24,,,,
COLCHAGUA,CHILE,SPA,,,,,
105593,77.804.489-7,GLOB,SERVICS,SPA,2025-07-24,,
105594,77.804.811-6,2025-07-24,,,,,
105595,77.804.832-9,AMBIENTE,SANO,SPA,2025-07-24,,
