Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
73293,COMERCIAL,FERRET,,,
73294,77.553.343-9,CANETO,LIMITADA,2025-07-24,
73295,76.830.980-9,FERNANDEZ,E,HIJOS,2025-07-24
73296,77.709.114-K,2025-07-24,,,
ONEALL,Y,STYWAN,,,
73297,78.007.473-6,2025-07-24,,,
73298,77.553.846-5,2025-07-24,,,
CERRO,NEGRO,SERVICIOS,,,
73299,77.438.534-7,2025-07-24,,,
73300,77.557.611-1,MEDICAL,SOLUTIONS,SPA,2025-07-24
73301,77.554.520-8,2025-07-24,,,
73302,77.439.058-8,INVERSIONES,LINCUYIN,2025-07-24,
SOCIEDAD,COMERCIAL,E,,,
73303,77.534.419-9,INVERSIONES,HNOS.,PINO,2025-07-24
