Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
73446,CONSTRUCTORA,MINERVA,,,
DE,ASEO,INDUSTRIAL,Y,,
73447,77.557.029-6,2025-07-24,,,
OBRAS,CIVILES,JORGE,,,
ORTIZ,VEGA,E.I.R.L.,,,
73448,76.992.405-1,CONSTRUCTORA,CAVENT,2025-07-24,
AUDITORIAS,ASESORIAS,Y,,,
73449,76.448.403-7,CONSULTORIAS,EGARSA,2025-07-24,
73450,76.834.523-6,PRODUCCIÓN,DE,2025-07-24,
C,Y,R,COMERCIAL,,
73451,78.014.253-7,2025-07-24,,,
73452,77.563.121-K,+58,BROASTER,SPA,2025-07-24
SOCIEDAD,E,INVERSIONES,,,
73453,77.005.263-7,2025-07-24,,,
73454,77.716.337-K,TOOLWORK,CHILE,SPA.,2025-07-24
SERVICIOS,DE,INGENIERIA,,,
73455,76.834.849-9,VTA,Y,REPARACIONES,2025-07-24
