Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
VENTAS,E,IMPORTACIONES,DE,MAQUINARIAS,Y,,,
77.939.965-6,HERRAMIENTAS,MANUEL,TORRES,OLIVARES,E.I.R.,2025-07-24,,
71564,77.491.866-3,A,&,S,OUTSIDE,SOLUTION,SPA,2025-07-24
71565,76.739.260-5,SOCIEDAD,COMERCIAL,LA,MUNDIAL,LIMITADA,2025-07-24,
71566,77.940.852-3,QUÍTOR,SPA,2025-07-24,,,,
SOCIEDAD,LABORATORIO,DENTAL,BLAKE,Y,VERA,,,
71567,77.455.817-9,2025-07-24,,,,,,
71568,77.492.041-2,LAURA,ART,SPA,2025-07-24,,,
71569,76.740.172-8,JONATHAN,ZAPATA,ZAPATA,E.I.R.L,2025-07-24,,
71570,77.941.108-7,CONSTRUCK,GU,SPA,2025-07-24,,,
71571,77.456.044-0,G.S.E,SERVICIOS,SPA,2025-07-24,,,
71572,76.936.961-9,SPA,MEDICO,Y,DENTAL,OVALLE,SPA,2025-07-24
71573,76.366.679-4,Geodesarrollo,Ingenieria,&,Obras,Civiles,SpA.,2025-07-24
