Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
95001,78.017.178-2,2025-07-24,,,,,,,,
95002,77.735.855-3,TECNOLÓGICAS,ERGO,2025-07-24,,,,,,
95003,78.017.398-K,2025-07-24,,,,,,,,
95004,77.737.831-7,PROFESIONALES,DÍAZ,Y,2025-07-24,,,,,
95005,78.017.497-8,2025-07-24,,,,,,,,
95006,78.017.845-0,2025-07-24,,,,,,,,
EMPRESA,INDIVIDUAL,DE,,,,,,,,
95007,78.018.998-3,HERCULES,SPORTS,SPA,2025-07-24,,,,,
95008,78.019.264-K,FLUITECH,SPA,2025-07-24,,,,,,
95009,77.738.559-3,OPTICA,ZT,SPA,2025-07-24,,,,,
95010,78.020.668-3,TEREVAL,SPA,2025-07-24,,,,,,
