Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
87001,77.631.011-5,2025-07-24,,,,,,,,
FLEMING,OPAZO,E.I.R.L.,,,,,,,,
87002,78.101.798-1,SERVIPRO,360,SPA,2025-07-24,,,,,
87003,78.153.225-8,2025-07-24,,,,,,,,
BUGUEÑO,CORTÉS,E.I.R.,,,,,,,,
87004,78.174.711-4,CLEAN,SPACE,SPA,2025-07-24,,,,,
ELECTRIC,SOLAR,CLIMA,,,,,,,,
87005,78.106.458-0,2025-07-24,,,,,,,,
87006,78.083.973-2,2025-07-24,,,,,,,,
87007,78.175.691-1,N,Y,M,SPA,2025-07-24,,,,
87008,78.109.098-0,2025-07-24,,,,,,,,
87009,78.084.124-9,2025-07-24,,,,,,,,
87010,78.153.333-5,2025-07-24,,,,,,,,
