Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
SOCIEDAD,MÉDICA,PATRICIO,JARRÍN,SPA,2025-07-24,,,
75727,AIMK,CONSTRUCCION,Y,MONTAJE,SPA,2025-07-24,,
75728,COMERCIAL,BARRERA,SPA,2025-07-24,,,,
75729,TECNOVIAL,S,A,2025-07-24,,,,
77.620.832-,SERVICIOS,DE,"TRANSPORTES,",LOGISTICOS,Y,MUDANZAS,VIA,
9,LIBRE,SPA,,,,,,
77.061.314-,CONSTRUCCIONES,CARLOS,ALBERTO,MUÑOZ,ARANCIBIA,,,
0,EMPRESA,INDIVIDUAL,DE,RESPONSABILIDAD,LIMITADA,,,
75732,TRANSPORTES,Y,SERVICIOS,JORGE,EDGARDO,CURIQUEO,MER,2025-07-24
75733,SOCIEDAD,COMERCIALIZADORA,NEWMEDICAL,SPA,2025-07-24,,,
75734,COMERCIAL,BAUSTORE,SPA,2025-07-24,,,,
75735,RCAA,ARQUITECTURA,Y,CONSTRUCCIONES,SPA,2025-07-24,,
75736,SOCIEDAD,DE,PROFESIONALES,MUNOZ,Y,NUNEZ,LIMITADA,2025-07-24
75737,INGENIOVISIÓN,SPA,2025-07-24,,,,,
