Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
97001,78.000.254-9,DIAGUITAS,SPA,2025-07-24,,,,,,
97002,77.564.300-5,2025-07-24,,,,,,,,
97003,78.001.215-3,FENIX,INGENIERÍA,SPA,2025-07-24,,,,,
R&R,CONSTRUCCION,Y,,,,,,,,
97004,78.001.676-0,2025-07-24,,,,,,,,
97005,78.001.789-9,BENESTARE,SPA,2025-07-24,,,,,,
97006,78.001.837-2,MONTAÑO,VÁSQUEZ,E.I.R.,2025-07-24,,,,,
97007,77.564.480-K,Comercial,Roanel,Limitada,2025-07-24,,,,,
97008,77.566.835-0,INSUMOS,GORBEA,SPA,2025-07-24,,,,,
LARGA,ESTADÍA,PARA,,,,,,,,
97009,78.001.974-3,2025-07-24,,,,,,,,
ARELIS,MOLINA,E.I.R.L.,,,,,,,,
97010,78.002.343-0,2025-07-24,,,,,,,,
