Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
78.014.462-9,YB.SERVICE,SPA,2025-07-24,,,,,
85134,78.067.381-8,2025-07-24,,,,,,
85135,78.157.807-K,S,Y,P,VISIÓN,ÓPTICA,SPA,2025-07-24
85136,78.014.528-5,MATROMED,SPA,2025-07-24,,,,
85137,77.991.400-3,VALDEBENITO,ESPINOZA,2025-07-24,,,,
Y,CIA,LTDA,,,,,,
85138,78.157.969-6,REN,GRUP,SPA,2025-07-24,,,
85139,78.014.821-7,2025-07-24,,,,,,
RRHH,Y,ASESORIAS,SPA,,,,,
85140,77.991.645-6,EL,SURCO,SPA,2025-07-24,,,
85141,78.072.579-6,2025-07-24,,,,,,
85142,78.016.179-5,PREHORMICON,SPA,2025-07-24,,,,
85143,76.981.851-0,GLOBALBUSINESS,SPA,2025-07-24,,,,
