Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
75203,77.044.163-,SERVICIOS,Y,ASESORIAS,EDUCACIONALES,DEL,BUEN,CAMINO,
75204,SOCIEDAD,COMERCIAL,Y,DE,ASESORIAS,AHORRO,OPTICA,SPA,2025-07-24
75205,MALABARES,CONSULTORES,LIMITADA,2025-07-24,,,,,
75206,CONSTRUCTORA,DMORENO,SPA,2025-07-24,,,,,
75207,CONSTRUCTORA,TRESMAR,SPA,2025-07-24,,,,,
75208,PET,WAREHOUSE,SPA,2025-07-24,,,,,
75209,ALMA,CENTRO,INTEGRAL,SPA,2025-07-24,,,,
75210,B,&;,C,SOLUCIONES,EN,COMUNICACION,LIMITADA,2025-07-24,
78.096.050-,PROMOTORA,PRODUCTORA,Y,COMERCIALIZADORA,,,,,
7,AGROPECUARIA,LTDA,,,,,,,
75212,CUMBRERA,SPA,2025-07-24,,,,,,
75213,JRG,INGENIERIA,SPA,2025-07-24,,,,,
77.628.481-,ORGANISMO,TÉCNICO,DE,CAPACITACIÓN,CERTIFICA,CAPITAL,,,
5,HUMANO,SPA,,,,,,,
