Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.525.589-7,ECOFAMY,SPA,2025-07-24,,,
MERMAX,PRO,SERVICE,,,,
96763,77.526.272-9,2025-07-24,,,,
96764,77.526.783-6,CIBERIT,SPA,2025-07-24,,
ASESORIA,TECNICA,EN,,,,
96765,96.625.270-7,2025-07-24,,,,
MONTANA,PUCARA,S,A,,,
96766,77.526.800-K,CONSTRUCTORA,E.C.R.,2025-07-24,,
96767,77.977.040-0,ALMACENAJE,STOREX,2025-07-24,,
96768,96.632.900-9,2025-07-24,,,,
96769,77.527.158-2,CONSTRUCCION,SAN,2025-07-24,,
96770,96.636.470-K,CONSTRUCTORA,2025-07-24,,,
TARAPACA,S,A,,,,
96771,77.977.863-0,2025-07-24,,,,
96772,77.978.428-2,FORMULAX,SPA,2025-07-24,,
