Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
SOC,DE,DESARROLLOS,DE,,,,,
102302,96.989.250-2,DISTRIBUIDORA,NEUMAX,S.,2025-07-24,,,
SENALIZACIONES,VIALES,S,,,,,,
102303,96.995.910-0,2025-07-24,,,,,,
102304,97.006.000-6,2025-07-24,,,,,,
102305,97.053.000-2,BANCO,SECURITY,2025-07-24,,,,
COMPANIA,DE,SEGUROS,DE,,,,,
102306,99.003.000-6,2025-07-24,,,,,,
VIDA,CAMARA,S.A.,,,,,,
102307,99.185.000-7,2025-07-24,,,,,,
SEGUROS,DE,VIDA,S.A.,,,,,
102308,99.500.720-7,T,V,CABLE,COLOR,S,A,2025-07-24
102309,99.504.690-3,CITYMOVIL,S.A.,2025-07-24,,,,
Soc.,Com.,de,Productos,de,,,,
102310,99.510.910-7,2025-07-24,,,,,,
Segu,-,Santiago,,,,,,
102311,99.539.460-K,HIDROMAQ,S,A,2025-07-24,,,
