Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ID,RUT,Proveedor,Razón,Social,,,,,
77.426.898-7,FLORES,DEL,SOL,SPA,2025-07-24,,,,
71205,76.348.530-7,INMOBILIARIA,E,INVERSIONES,D,&,M,LIMITADA,2025-07-24
71206,77.446.548-0,VIGSSA,INGENIERIA,Y,CONSTRUCCION,SPA,2025-07-24,,
71207,77.927.963-4,VESTA,SPA,2025-07-24,,,,,
71208,76.723.516-K,INVERSIONES,GWS,SPA,2025-07-24,,,,
71209,77.427.596-7,LIBRERÍA,COMPARTELETRAS,LIMITADA,2025-07-24,,,,
71210,76.724.773-7,LALUZ,PRODUCCIONES,LTDA,2025-07-24,,,,
71211,77.327.698-6,TECNOLOGÍA,EN,MATERIALES,CALAVÁ,SPA,2025-07-24,,
71212,77.328.192-0,INGENIERIA,Y,SERVICIOS,RINAF,SPA,2025-07-24,,
SOCIEDAD,CLIMATIZACION,PATAGONIA,AUSTRAL,,,,,,
71213,77.928.392-5,2025-07-24,,,,,,,
71214,77.478.262-1,CLEAN,A&C,SPA,2025-07-24,,,,
71215,77.429.104-0,CEJA,NEGRA,SPA,2025-07-24,,,,
