Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
80625,PSICOLOGIA,FORENSE,,,,
FRANCES,LEAÑO,E.I.R.L.,,,,
SEPULVEDA,Y,ESPINOZA,,,,
80626,76.795.223-6,COMERCIALIZADORA,2025-07-24,,,
80627,77.812.988-4,DISTRIBUIDORA,ARTE,2025-07-24,,
80628,77.877.228-0,2025-07-24,,,,
EN,MANTENIMIENTO,SPA,,,,
INGENIERIA,ELECTRICA,Y,,,,
80629,76.795.604-5,2025-07-24,,,,
SERVICIOS,ARSELEC,SPA,,,,
80630,77.768.684-4,2025-07-24,,,,
DE,ALIMENTOS,SPA,,,,
PEDRO,DEL,TRANSITO,,,,
80631,9.287.991-7,2025-07-24,,,,
80632,77.826.733-0,INVERSIONES,DEL,GRAN,2025-07-24,
80633,77.245.491-0,SAT,SPA,2025-07-24,,
TETERÍA,Y,CAFETERÍA,,,,
80634,77.813.822-0,2025-07-24,,,,
AYNI,FAMILIA,CREATIVA,,,,
80635,77.877.589-1,2025-07-24,,,,
