Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
76.392.086-0,toma,spa,2025-07-24,,,
65316,76.646.424-6,HABLAIP,SPA,2025-07-24,,
65317,77.350.785-6,INGENIERIA,AMJ,LIMITADA,2025-07-24,
65318,76.392.668-0,INPROMAC,Ltda.,2025-07-24,,
COMERCIALIZADORA,B,&,B,,,
65319,77.100.334-6,2025-07-24,,,,
65320,77.699.933-4,ESPACIO,COCINA,SPA,2025-07-24,
65321,77.074.097-5,JENESISPRO,SPA,2025-07-24,,
65322,76.734.455-4,ALTURA,FILMS,SPA,2025-07-24,
65323,77.163.611-K,CRISTOUR,SPA,2025-07-24,,
65324,77.074.352-4,TVTEL,S.A.,2025-07-24,,
65325,76.392.767-9,CONSTRUCTORA,2,TH,LTDA.,2025-07-24
65326,76.735.170-4,RECOURSE,EST,S.A.,2025-07-24,
