Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
QUANTUM,SERVICES,SPA,,,,,
ESTACIONES,DE,SERVICIOS,,,,,
77843,77.748.648-9,SALAS,Y,PEREZ,SOCIEDAD,DE,2025-07-24
CIRUMED,LIMITADA,-,,,,,
77844,78.936.310-2,2025-07-24,,,,,
77845,77.672.745-8,CLIMATIZACION,R.E,LIMITADA,2025-07-24,,
77846,77.748.861-9,SMARTSIGHT,SPA,2025-07-24,,,
77847,77.672.655-9,LBO,AUDIO,SPA,2025-07-24,,
ALPHA,LEX,ABOGADOS,,,,,
77848,77.757.406-K,2025-07-24,,,,,
77849,77.675.713-6,2025-07-24,,,,,
77850,77.844.388-0,2025-07-24,,,,,
77851,77.758.528-2,CONSTRUCTORA,J,&,P,SPA,2025-07-24
77852,77.675.743-8,HIGUERAS,ALVARADO,SPA,2025-07-24,,
