Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
ONG,AMBIENTAL,CONECTAR,,,,,,,,
102001,65.162.797-4,2025-07-24,,,,,,,,
102002,65.163.742-2,FUNDACIÓN,EDUCALEZ,2025-07-24,,,,,,
102003,65.163.907-7,FUNDACIÓN,EDUCREA,2025-07-24,,,,,,
PARA,LA,INNOVACION,EN,,,,,,,
102004,65.165.099-2,2025-07-24,,,,,,,,
102005,65.166.316-4,2025-07-24,,,,,,,,
102006,65.167.619-3,2025-07-24,,,,,,,,
CORPORACION,PARA,EL,,,,,,,,
102007,65.171.239-4,FOMENTO,DE,DESARROLLO,2025-07-24,,,,,
CENTRO,TECNOLOGICO,DE,,,,,,,,
102008,65.171.448-6,2025-07-24,,,,,,,,
FUNDACION,CENTRO,DE,,,,,,,,
102009,65.171.717-5,EDUCACION,SEXUAL,2025-07-24,,,,,,
102010,65.172.202-0,FUNDACIÓN,REEDUCAR,2025-07-24,,,,,,
