Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.997.347-6,INVERSOL,SPA,2025-07-24,,,
SERVICIO,DE,LIMPIEZA,Y,,,
81833,76.860.071-6,2025-07-24,,,,
PRODUCTOS,DE,ASEO,SIN,,,
INVERSIONES,PIEDRA,DEL,,,,
81834,77.919.454-K,2025-07-24,,,,
PRESTACIONES,DE,SALUD,,,,
81835,77.824.366-0,2025-07-24,,,,
81836,96.588.560-9,PILOTES,TERRATEST,S,A,2025-07-24
81837,77.323.302-0,2025-07-24,,,,
81838,77.854.368-0,2025-07-24,,,,
HENKO,HR,CONSULTING,,,,
81839,77.919.917-7,2025-07-24,,,,
81840,96.595.020-6,2025-07-24,,,,
COMUNICACIONES,S,A,,,,
81841,77.870.976-7,SERVICIOS,VERDE,GESTO,2025-07-24,
81842,77.920.518-5,MSS,MAQUINARIAS,SPA,2025-07-24,
