Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
79985,PANADERIA,Y,PASTELERIA,,
CENTRO,INFANTIL,ROSSANA,,,
79986,77.935.831-3,ALEJANDRA,GRECO,2025-07-24,
79987,77.737.321-8,2025-07-24,,,
DE,LA,NATURALEZA,SPA,,
79988,77.848.683-0,2025-07-24,,,
79989,77.936.918-8,2025-07-24,,,
79990,77.738.261-6,ALTERNA,MOTORS,SPA,2025-07-24
79991,77.200.087-1,FISIOX,SPA,2025-07-24,
79992,77.770.286-6,2025-07-24,,,
79993,77.797.708-3,DATAPROB,SPA,2025-07-24,
79994,77.200.663-2,2025-07-24,,,
CONSTRUCCIONES,DYK,SPA,,,
79995,77.771.587-9,SERMAN,LIMITADA,2025-07-24,
