Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
77.479.551-0,SANTIAGO,ANIMACIÓN,STUDIO,SPA,2025-07-24,,,
71265,76.915.025-0,CONSTRUCTORA,ADC,LIMITADA,2025-07-24,,,
71266,77.447.921-K,ASESORÍA,GENESIS,DIANA,MORA,VIDELA,E.I.R.L.,2025-07-24
71267,77.434.188-9,BENÍTEZ,Y,GONZÁLEZ,ARQUITECTOS,SPA,2025-07-24,
DISTRIBUIDORA,Y,COMERCIALIZADORA,,,,,,
71268,77.631.891-4,2025-07-24,,,,,,
71269,76.354.984-4,Luis,Edmundo,Rivera,Correa,Ingeniería,EIRL,2025-07-24
COMPAÑÍA,DE,TEATRO,FUERA,DE,LUGAR,,,
71270,76.909.154-8,2025-07-24,,,,,,
71271,77.341.578-1,ESTUDIO,PAISAJE,URBANO,SPA,2025-07-24,,
71272,77.929.644-K,IMPORTADORA,SAN,MATEO,SPA,2025-07-24,,
IMPORTADORA,DE,INSTRUMENTOS,MUSICALES,Y,,,,
71273,76.915.754-9,2025-07-24,,,,,,
71274,77.448.277-6,EL,LEGADO,J&R,SPA,2025-07-24,,
71275,77.341.633-8,IMPORTADORA,THM,LIMITADA,2025-07-24,,,
