Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
77.476.137-3,EVEL,SPA,2025-07-24,,,,,,
71109,77.324.700-5,C,Y,M,INGENIERIA,LIMITADA,2025-07-24,,
71110,77.358.003-0,COMERCIALIZADORA,C.RECICLA,LIMITADA,2025-07-24,,,,
71111,77.442.030-4,FORESTAL,ANDES,LIMITADA,2025-07-24,,,,
71112,77.325.114-2,SOCIEDAD,ENLAZA,EDUCA,SPA,2025-07-24,,,
ARRIENDO,DE,MAQUINARIA,Y,COMPRA,VENTA,DE,,,
71113,77.335.161-9,2025-07-24,,,,,,,
ARIDOS,AQUILES,SPA,,,,,,,
CONSTRUCTORA,Y,COMERCIALIZADORA,DEL,SUR,,,,,
71114,76.719.760-8,2025-07-24,,,,,,,
71115,77.922.898-3,MBM,MARKET,SPA,2025-07-24,,,,
71116,77.627.894-7,AC,SPA,2025-07-24,,,,,
71117,77.358.188-6,YOGA,PARA,LA,MUJER,AM,KÜYEN,SPA,2025-07-24
71118,77.442.387-7,JV,CIRCONES,Y,MINERALES,SPA,2025-07-24,,
SOCIEDAD,DE,PROFESIONALES,AIREFRESCO,SP,,,,,
71119,77.923.271-9,2025-07-24,,,,,,,
