Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
76.670.762-9,MVM,SERVICIOS,Limitada,2025-07-24,,
63176,76.991.946-5,2025-07-24,,,,
63177,77.017.431-7,2025-07-24,,,,
63178,76.016.730-4,2025-07-24,,,,
63179,76.530.518-7,ANONIMA,AGENCIA,EN,2025-07-24,
63180,77.074.166-1,2025-07-24,,,,
63181,76.285.507-0,R,Y,J,LIMITADA,2025-07-24
63182,77.084.629-3,INFORMATICAS,ISINET,2025-07-24,,
63183,76.530.569-1,AGUAYO,Y,COMPANIA,2025-07-24,
63184,77.075.189-6,MR.,CLEANNER,SPA,2025-07-24,
63185,77.001.087-K,2025-07-24,,,,
