Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
77.668.105-9,BRICETRON,SPA,2025-07-24,,,,
38110,77.424.264-3,OVAHE,SPA,2025-07-24,,,
SOCIEDAD,COMERCIAL,E,,,,,
38111,77.668.363-9,INVERSIONES,ECOAGRO,2025-07-24,,,
38112,77.425.442-0,MENLA,SPA,2025-07-24,,,
38113,77.425.713-6,2025-07-24,,,,,
INVERSIONES,TALCA,EEG,,,,,
38114,77.425.984-8,2025-07-24,,,,,
38115,76.747.031-2,2025-07-24,,,,,
38116,77.668.470-8,METALURGICA,T,H,L,SPA,2025-07-24
38117,77.650.065-8,ACCELERATE,2025-07-24,,,,
38118,77.426.442-6,2025-07-24,,,,,
38119,77.426.862-6,HUMBERTO,CONEJERA,2025-07-24,,,
