Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
77.418.582-8,KUMEN,SPA,2025-07-24,,,,
92962,77.419.683-8,COMERCIAL,VIAL,SPA,2025-07-24,,
92963,96.546.100-0,2025-07-24,,,,,
LA,DISCUSION,S,A,,,,
92964,77.419.720-6,SERVICIOS,ALFRA,2025-07-24,,,
92965,96.546.890-0,2025-07-24,,,,,
COMERCIAL,CASA,ALICIA,,,,,
92966,96.732.380-2,2025-07-24,,,,,
92967,96.754.450-7,K,D,M,S,A,2025-07-24
92968,77.420.201-3,SSC,MEDIA,SPA,2025-07-24,,
92969,96.554.710-K,2025-07-24,,,,,
VESTUARIO,S,A,,,,,
92970,96.755.510-K,2025-07-24,,,,,
CHILE,S,A,,,,,
92971,96.556.930-8,SODEXHO,PASS,CHILE,S.A,2025-07-24,
