Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.691.454-1,ALUVIMAJE,SPA,2025-07-24,,,
65146,76.730.107-3,2025-07-24,,,,
65147,77.148.056-K,2025-07-24,,,,
65148,76.636.218-4,EL,CRUCE,SPA,2025-07-24,
65149,77.098.051-8,ECO,CARTES,SPA,2025-07-24,
65150,77.163.493-1,CONSTRUCTORA,MAULEN,spa,2025-07-24,
65151,77.068.280-0,BERNALES,Y,DELMON,2025-07-24,
65152,76.636.608-2,TRANSPORTE,CAMPANA,SPA,2025-07-24,
SOC,COMERCIAL,NOCERA,Y,,,
65153,82.120.700-2,2025-07-24,,,,
65154,77.163.954-2,2025-07-24,,,,
COMERCIAL,E,INDUSTRIAL,,,,
65155,77.068.691-1,2025-07-24,,,,
65156,77.153.535-6,FATTO,CHILE,SPA,2025-07-24,
