Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
54033,pillan,spa,construccion,y,,
54034,76.662.362-K,Nuovo,SpA,2025-07-24,,
54035,76.949.251-8,ECOPULMAHUE,SPA,2025-07-24,,
54036,76.700.455-9,2025-07-24,,,,
ROGER,YEPSEN,EIRL,,,,
54037,76.109.342-8,2025-07-24,,,,
ANDRES,VERGARA,E.I.R.,,,,
54038,76.725.901-8,2025-07-24,,,,
54039,76.700.499-0,2025-07-24,,,,
54040,76.711.803-1,2025-07-24,,,,
SOLAR,MONSALVEZ,E.I.R.,,,,
54041,76.111.030-6,2025-07-24,,,,
54042,76.700.542-3,2025-07-24,,,,
ARTESANIA,EN,TOTORA,E.,,,
54043,76.329.604-0,XLPIXEL,SPA,2025-07-24,,
