Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
76.931.526-8,SERVICIOS,DE,SEGURIDAD,MACHMAR,SPA,2025-07-24,,
71778,77.364.870-0,RADIO,VACACIONES,GIGLIO,Y,CIA,LTDA,2025-07-24
CONSTRUCCIONES,Y,ENERGIAS,RENOVABLES,,,,,
71779,77.951.631-8,2025-07-24,,,,,,
71780,77.396.235-9,VISIÓN,MYM,SPA,2025-07-24,,,
LA,FIGA,PRODUCCIONES,EVENTO,Y,ALTA,,,
71781,76.944.823-3,2025-07-24,,,,,,
71782,76.932.456-9,CONSTRUCTORA,INCOSAR,LIMITADA,2025-07-24,,,
71783,77.951.697-0,SERVICIOS,DE,CONSULTORÍA,SPA,2025-07-24,,
FABRICA,DE,RESORTES,SAUL,DAVID,CARRASCO,,,
71784,76.374.879-0,2025-07-24,,,,,,
71785,76.749.735-0,CONSTRUCCIÓN,E,INGENIERÍA,CEIMAD,SPA,2025-07-24,
71786,77.648.242-0,ALLSCAN,SEGURITY,SPA,2025-07-24,,,
71787,77.468.716-5,BRAULIO,PUBLICIDAD,LIMITADA,2025-07-24,,,
71788,77.501.064-9,VIVERO,LOS,TRONCOS,F10,SPA,2025-07-24,
