Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
69701,MARFIG,EQUIPOS,Y,,,
69702,77.563.461-8,DISTRIBUIDORA,TRADE,2025-07-24,,
69703,77.370.481-3,KOLLELLA,SPA,2025-07-24,,
69704,76.850.850-K,2025-07-24,,,,
69705,77.256.897-5,2025-07-24,,,,
69706,77.370.834-7,2025-07-24,,,,
69707,77.866.485-2,GRUPO,BENMARC,SPA,2025-07-24,
69708,77.276.913-K,SA,PREMIUM,SPA,2025-07-24,
69709,77.257.217-4,&amp;,SERVICIOS,DE,2025-07-24,
TRANSPORTES,EMI,SPA,,,,
ISTEF,GONZALEZ,VEAS,,,,
69710,77.371.063-5,2025-07-24,,,,
69711,77.276.925-3,SERVICIOS,SAHE,SPA,2025-07-24,
