Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
77.350.739-2,MAUCO,SURFBOARDS,SPA,2025-07-24,,,,
71670,77.944.187-3,ÁPICE,INGENIERÍA,Y,MANTENCIÓN,SPA,2025-07-24,
71671,77.388.870-1,SOFTGROUP,LTDA.,-,Casa,Matriz,2025-07-24,
71672,77.361.222-6,SOCIEDAD,DE,SERVICIOS,LA,ESPERANZA,SPA,2025-07-24
TECNOLOGIAS,DE,PROCESAMIENTO,DE,,,,,
71673,77.496.546-7,2025-07-24,,,,,,
71674,77.352.137-9,SERMEDAL,SPA,2025-07-24,,,,
71675,77.945.294-8,VISION,GROUP,SPA,2025-07-24,,,
CSQ,INGENIERÍA,Y,"CONSTRUCCIÓN,CASAS",,,,,
71676,76.941.117-8,2025-07-24,,,,,,
71677,77.389.655-0,TRANSPORTES,MARCHANT,SPA,2025-07-24,,,
71678,77.497.572-1,CAPACITACIÓN,Y,ASESORÍA,SPA,2025-07-24,,
71679,77.352.440-8,PLAN,ARQUITECTOS,LIMITADA,2025-07-24,,,
71680,76.744.669-1,SOCIEDAD,COMERCIAL,SERVILAV,SPA,2025-07-24,,
