Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
76466,SERVICIOS,AGRÍCOLAS,,,,
76467,76.599.945-6,JJCALBUINOX,SPA,2025-07-24,,
PRADA,IMPORTADORA,Y,,,,
76468,76.984.183-0,2025-07-24,,,,
76469,77.122.595-0,CLIMAOCA,SPA,2025-07-24,,
76470,77.682.880-7,2025-07-24,,,,
76471,77.610.022-6,CONSTRUCCIÓN,DIEGO,2025-07-24,,
SALDIVIA,GAETE,E.I.R.L.,,,,
76472,78.149.719-3,2025-07-24,,,,
OPTIMA,INGENIERÍA,Y,,,,
76473,77.087.674-5,2025-07-24,,,,
76474,77.683.215-4,GRUPO,SEGURAR,SPA,2025-07-24,
76475,77.572.944-9,2025-07-24,,,,
UD,PUBLISHING,CHILE,,,,
76476,76.984.402-3,2025-07-24,,,,
