Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ID,RUT,Proveedor,Razón,Social,,,,,
77.328.744-9,MARCOS,ALTRAFORMA,LIMITADA,2025-07-24,,,,,
71277,77.481.026-9,NG,HOME,SPA,2025-07-24,,,,
71278,76.727.397-5,GEAMED,S.A.,2025-07-24,,,,,
71279,77.448.663-1,INVERSIONES,EL,ROBLE,SPA,2025-07-24,,,
71280,77.331.197-8,POZOS,PROFUNDOS,AVENDAÑO,SPA,2025-07-24,,,
71281,77.930.001-3,ÁGAPE,CAFETERÍA,Y,JARDIN,SPA,2025-07-24,,
71282,77.366.256-8,IMPORTADORA,Y,COMERCIALIZADORA,C,&,B,SPA,2025-07-24
71283,76.909.267-6,GRUAS,OVALLE,SPA,2025-07-24,,,,
71284,76.728.085-8,ELECTROPALMA,SPA,2025-07-24,,,,,
71285,77.331.525-6,TRANS.,LENORT,SPA,2025-07-24,,,,
SERVICIOS,INTEGRALES,WILMA,DEL,CARMEN,,,,,
71286,77.930.063-3,2025-07-24,,,,,,,
CRESPO,GOMEZ,E.I.R.L.,,,,,,,
71287,77.367.885-5,GRUPO,MAIPO,LIMITADA,2025-07-24,,,,
