Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
76.836.445-1,CONSENSUS,SPA,2025-07-24,,,,
69403,77.852.596-8,SOLUCIONES,J,&,M,SPA,2025-07-24
69404,77.347.753-1,2025-07-24,,,,,
69405,77.325.425-7,TRANSPORTES,AC,SPA,2025-07-24,,
69406,77.264.198-2,2025-07-24,,,,,
69407,77.348.105-9,COMERCIAL,SICAV,SPA,2025-07-24,,
69408,77.326.960-2,DATUM,INGENIERIA,SPA,2025-07-24,,
69409,77.241.122-7,2025-07-24,,,,,
69410,77.388.382-3,DAZAPAISAJISMO,SPA,2025-07-24,,,
69411,77.349.144-5,MARANTA,SPA,2025-07-24,,,
REYES,ODONTOLOGÍA,Y,,,,,
69412,77.265.037-K,2025-07-24,,,,,
