Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
76.435.951-8,Rojas,y,Aguilera,Limitada,2025-07-24,
66250,77.106.744-1,MASTER,-,C,SPA,2025-07-24
66251,77.205.925-6,COMERCIALIZADORA,2025-07-24,,,
SANTA,MONICA,SPA,,,,
66252,77.187.228-K,INNOVACION,NUMERUS,2025-07-24,,
66253,77.110.091-0,2025-07-24,,,,
ATTORNEYS,CHILE,SPA,,,,
66254,76.755.276-9,CEO,TOPOGRAFIA,EIRL,2025-07-24,
66255,76.436.353-1,JORGE,EDUARDO,2025-07-24,,
SOCIEDAD,COMERCIAL,Y,,,,
66256,77.734.367-K,GASTRONOMICA,LA,2025-07-24,,
66257,76.133.498-0,COUNCIL,CHILE,LTDA,2025-07-24,
66258,77.734.943-0,2025-07-24,,,,
66259,76.701.556-9,MULTIPLEX,SPA,2025-07-24,,
