Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
54913,76.366.958-0,CLK,2025-07-24,,,
COMERCIAL,AZUL,Y,,,,
54914,76.700.555-5,2025-07-24,,,,
54915,76.734.328-0,2025-07-24,,,,
54916,76.981.465-5,2025-07-24,,,,
ALIMENTOS,RICOS,SPA,,,,
54917,76.772.396-2,2025-07-24,,,,
LOGISTICA,LB,SPA,,,,
54918,76.142.721-0,Gift,Corp,(Falabella),2025-07-24,
54919,76.701.383-3,2025-07-24,,,,
JUSTICIA,E,INFANCIA,,,,
54920,76.735.117-8,2025-07-24,,,,
54921,76.366.980-7,ECOVERDE,S.A.,2025-07-24,,
54922,76.772.894-8,2025-07-24,,,,
