Campo_1,Campo_2,Campo_3,Campo_4,Campo_5
77.240.249-K,D.,PORTALES,SPA,2025-07-24
67434,77.782.674-3,2025-07-24,,
67435,77.266.786-8,2025-07-24,,
PEÑA,Y,COMPANIA,,
67436,76.751.356-9,2025-07-24,,
67437,77.256.065-6,SOLEDAD,POLANCO,2025-07-24
67438,77.443.695-2,2025-07-24,,
SERVICIOS,MEDICOS,DE,,
67439,77.782.891-6,2025-07-24,,
67440,77.267.049-4,2025-07-24,,
67441,77.443.893-9,INVERSIONES,SPA,2025-07-24
67442,76.502.814-0,2025-07-24,,
LUNA,AMPUERO,E.I.R.L.,,
67443,77.267.172-5,2025-07-24,,
67444,77.445.210-9,Quanam,2025-07-24,
