Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
IMPORTACION,Y,VENTA,,,
DE,ART.,DE,"BELLEZA,",,
COSMETICOS,Y,"SPA,",,,
105869,"LENCERIA,",ART,DE,,
REGALO,Y,FRUTOS,,,
SECOS,Y,OTROS,,,
PAULINA,ORDENES,E.I.R.,,,
SERVICIOS,PEÑA,Y,,,
105870,77.913.362-1,2025-07-24,,,
105871,77.913.454-7,QUIZARRA,MAQUINARIA,2025-07-24,
Y,CONSTRUCCION,SPA,,,
105872,77.913.529-2,2025-07-24,,,
105873,77.913.812-7,EN,TERRENO,JAIME,2025-07-24
RD,SERVICIOS,DE,,,
105874,77.913.988-3,MANTENIMIENTO,Y,2025-07-24,
105875,77.914.316-3,AGRO,MATING,SPA,2025-07-24
105876,77.915.246-4,MONDINI,TI,LIMITADA,2025-07-24
CAFETERÍA,Y,TETERÍA,,,
105877,77.915.252-9,2025-07-24,,,
