Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
98001,77.832.697-3,2025-07-24,,,,,,,,
98002,77.832.876-3,2025-07-24,,,,,,,,
98003,77.833.088-1,PROCIVIL,INGENIERIA,SPA,2025-07-24,,,,,
98004,77.833.459-3,2025-07-24,,,,,,,,
98005,77.833.636-7,OSINT,SPA,2025-07-24,,,,,,
98006,77.833.691-K,LAS,BENDICIONES,SPA,2025-07-24,,,,,
ACEROS,Y,SERVICIOS,KUKY,,,,,,,
98007,77.834.185-9,2025-07-24,,,,,,,,
98008,77.834.330-4,PAOLA,LAMAS,Y,COMPANIA,2025-07-24,,,,
QUANTICAL,MEDICINA,+,,,,,,,,
98009,77.834.738-5,2025-07-24,,,,,,,,
98010,77.835.076-9,2025-07-24,,,,,,,,
INTEGRALES,R,&,R,SPA,,,,,,
98011,78.165.225-3,2025-07-24,,,,,,,,
