Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.078.136-1,ACEVEDO,MUÑOZ,2025-07-24,,,
EMPRESA,INDIVIDUAL,D,,,,
76271,77.117.005-6,2025-07-24,,,,
76272,77.799.074-8,2025-07-24,,,,
76273,77.605.032-6,2025-07-24,,,,
VÉLEZ,RODRÍGUEZ,SPA,,,,
76274,77.079.415-3,2025-07-24,,,,
GABRIELA,DEL,PINO,,,,
76275,77.565.755-3,UNMIX,DE,SABORES,SPA,2025-07-24
76276,77.799.347-K,2025-07-24,,,,
76277,77.641.588-K,PUNTO0,SPA,2025-07-24,,
76278,77.605.140-3,2025-07-24,,,,
76279,78.140.006-8,URAQI,DESIGNS,SPA,2025-07-24,
76280,77.117.019-6,CAPACITACIÓN,CRECE,2025-07-24,,
