Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
68591,LAPSHOP,SERVICIOS,Y,,,
68592,77.338.614-5,2025-07-24,,,,
68593,76.806.885-2,2025-07-24,,,,
68594,77.823.947-7,NOVENAPRINT,SPA,2025-07-24,,
68595,76.804.232-2,2025-07-24,,,,
68596,76.561.637-9,NEGOCIO,EN,SOFTWARE,2025-07-24,
68597,77.224.155-0,2025-07-24,,,,
ERGO,INGENIERÍA,Y,,,,
68598,77.196.445-1,2025-07-24,,,,
68599,77.320.374-1,2025-07-24,,,,
HECTOR,EFRAIN,NUÑEZ,,,,
68600,76.804.283-7,2025-07-24,,,,
68601,76.806.984-0,CHILE,OCEANICA,SPA,2025-07-24,
