Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
76.412.315-8,inmov,y,const,berg,EIRL,2025-07-24,
48013,76.467.953-9,confecciones,irene,diaz,castillo,e.i.r.l,2025-07-24
48014,76.112.349-1,2025-07-24,,,,,
INGENIERIA,Y,CONSTRUCTORA,BIO,,,,
48015,76.411.170-2,2025-07-24,,,,,
48016,76.412.357-3,TRANSPORTES,BUSES,LAJA,LTDA.,2025-07-24,
EMPRESA,DE,DECORACIÓN,Y,,,,
48017,76.358.249-3,DISEÑO,PAMELA,ALEJANDRA,2025-07-24,,
ARROYO,BERRÍOS,E.I.R.,,,,,
IMPORT,EXPORT,KORPUS,CHILE,,,,
48018,76.112.369-6,2025-07-24,,,,,
CONSTRUCTORA,LA,TOSCANA,,,,,
48019,76.411.500-7,EMPRESA,INDIVIDUAL,DE,2025-07-24,,
Sociedad,Comercializadora,Miramar,,,,,
48020,76.442.363-1,2025-07-24,,,,,
48021,76.696.486-9,2025-07-24,,,,,
ROBERTO,PARADA,HOYL,E.I.R.L,,,,
SOCIEDAD,CONSTRUCTORA,Y,,,,,
48022,77.770.958-5,2025-07-24,,,,,
SERVICIOS,FAY,SPA,,,,,
