Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
54814,INVERSIONES,LEDDY,,,,
54815,77.316.032-5,2025-07-24,,,,
SOC,JC,SERVICIOS,EST,,,
54816,76.761.840-9,2025-07-24,,,,
54817,76.708.072-7,2025-07-24,,,,
54818,76.727.557-9,AD,DIAGNOSTICA,SPA,2025-07-24,
54819,76.137.664-0,DUO,S.A:,2025-07-24,,
54820,76.697.253-5,ALMA-HADAS,SPA,2025-07-24,,
54821,78.127.724-K,2025-07-24,,,,
54822,76.708.772-1,TRANSPORTES,Y,2025-07-24,,
LOGISTICA,VC,LIMITADA,,,,
54823,65.233.605-1,2025-07-24,,,,
Sociedad,de,Servicios,y,,,
54824,76.139.002-3,Transportes,Donoso,2025-07-24,,
