Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
37542,76.623.780-0,2025-07-24,,,,
IMAGEN,CROM,SPA,,,,
37543,76.624.276-6,DUAOTEC,SPA,2025-07-24,,
37544,77.574.526-6,2025-07-24,,,,
37545,76.625.310-5,2025-07-24,,,,
37546,77.574.569-K,PELLET,QUELLON,SPA,2025-07-24,
37547,76.626.085-3,AE,SERVICIOS,SPA,2025-07-24,
37548,77.574.959-8,2025-07-24,,,,
37549,77.575.185-1,MATTONE,SPA,2025-07-24,,
37550,76.626.211-2,HELPIMEDICAL,SPA,2025-07-24,,
ARTIM,TIMBRES,DE,,,,
37551,77.575.236-K,2025-07-24,,,,
