Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
AUDIOMAC,SPA,2025-07-24,,,,,,,
75941,THE,TRANSPORTER,SPA,2025-07-24,,,,,
75942,TRANSPORTES,Y,SERVICIOS,JYL,SPA,2025-07-24,,,
75943,LUCIANO,ROMERO,PRODUCCIONES,SPA,2025-07-24,,,,
75944,BOZZI,ARQUITECTOS,SPA,2025-07-24,,,,,
75945,C.C.I.,SEGURIDAD,SERGIO,MANCILLA,E.I.R.L.,2025-07-24,,,
75946,AQUAINGENIA,SPA,2025-07-24,,,,,,
75947,SOCIEDAD,CONSTRUCTORA,E,INGENIERIA,MEDINA,Y,CIA,SPA,2025-07-24
75948,SERVICIOS,DE,INGENIERÍA,ALTO,PLACILLA,SPA,2025-07-24,,
75949,EASY,MARKET,SPA,2025-07-24,,,,,
75950,ORTHODONTIKA,CHILE,SPA,2025-07-24,,,,,
75951,Ingeniería,y,Asesorías,Jorge,Higuera,Catalán,E.I.R,2025-07-24,
