Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
71096,MONTAJES,Y,SERVICIOS,INDUSTRIALES,,,,
71097,76.900.417-3,SERVISEGPUQ,SISTEMAS,DE,SEGURIDAD,SPA,2025-07-24,
71098,77.420.590-K,COMENTA,COMPUTACION,LIMITADA,2025-07-24,,,
71099,77.627.101-2,AGRICOLA,Y,VIVERO,SAN,BERNARDO,SPA,2025-07-24
ELABORACIÓN,DE,PRODUCTOS,VALERIA,NAIN,,,,
71100,77.356.716-6,2025-07-24,,,,,,
CAPACITACION,Y,ACTUALIZACION,EN,,,,,
71101,77.324.331-K,2025-07-24,,,,,,
NORMATIVA,MUNICIPAL,CAPITAL,SUR,SPA,,,,
71102,76.900.601-K,R-MAS,SPA,2025-07-24,,,,
71103,77.441.366-9,CAMPO,DE,DON,LALO,SPA,2025-07-24,
SOCIEDAD,COMERCIALIZADORA,MEV,,,,,,
71104,77.334.892-8,2025-07-24,,,,,,
71105,77.324.665-3,AGRICOLA,VIVERO,LIMACHE,SPA,2025-07-24,,
71106,76.718.258-9,VEOPLAGAS,SERVICIOS,SPA,2025-07-24,,,
71107,77.922.575-5,DISTRIBUIDORA,LA,TRIBU,SPA,2025-07-24,,
