Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
AGILECLASS,CHILE,SPA,2025-07-24,,,,,,
77.067.772-,SERVICIOS,INTEGRALES,LUIS,ROLANDO,OGALDE,PASTEN,E.I.R.,,
75217,TRANSCOMMUNICATION,GROUP,SPA,2025-07-24,,,,,
75218,CASA,MATERIALES,DE,OBRA,SPA,2025-07-24,,,
75219,CONSTRUCCIONES,Y,VENTA,DE,MATERIALES,MUÑOZ,SPA,2025-07-24,
75220,ESTUDIOS,RURALES,2025-07-24,,,,,,
75221,TRANSPORTES,Y,MAQUINARIAS,ALFADI,SPA,2025-07-24,,,
75222,RESTAURANTES,Y,SALONES,DE,EVENTOS,LEONCIO,MANUEL,T,2025-07-24
75223,SERVICIOS,GENERALES,ATLAS,M&N,SPA,2025-07-24,,,
77.045.604-,MAQUINAS,DESHIDRATADORAS,SOLARES,KETRAN,DEL,VALLE,,,
75225,SOCIEDAD,DE,SERVICIOS,Y,SOLUCIONES,TERRACAM,SPA,2025-07-24,
75226,ANTOMARQUE,VALDIVIA,SPA,2025-07-24,,,,,
