Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
77.230.492-7,MIGUEL,CARRILLO,E.I.R.,2025-07-24,,,,
62491,93.764.000-5,MOLINO,BALMACEDA,S,A,2025-07-24,,
62492,78.203.093-0,SUMINISTROS,PAVIL,SPA,2025-07-24,,,
62493,76.972.296-3,SMART4D,SPA.,2025-07-24,,,,
SOCIEDAD,TD,"BUS,",,,,,,
62494,76.969.761-6,BUSES,Y,SERVICIOS,2025-07-24,,,
62495,96.877.150-7,PENA,SPOERER,Y,CIA,S,A,2025-07-24
62496,70.002.600-0,2025-07-24,,,,,,
VOLEIBOL,DE,CHILE,,,,,,
62497,77.047.074-9,ANDREA,MUÑOZ,2025-07-24,,,,
62498,76.972.509-1,2025-07-24,,,,,,
MADERAS,MADESOL,SPA,,,,,,
62499,76.503.150-8,2025-07-24,,,,,,
Servicios,Integrales,de,,,,,,
62500,76.252.588-7,Cobranzas,y,2025-07-24,,,,
