Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
77.345.146-K,ELECTROCAR,ARAUCANIA,SPA,2025-07-24,,,,
COMIDA,CASERA,A,DOMICILIO,DANIELA,,,,
71553,77.449.909-1,2025-07-24,,,,,,
71554,76.364.849-4,FARMACIA,ACCESO,S.A,2025-07-24,,,
SERVICIOS,ROBERTO,CARLOS,SANHUEZA,,,,,
71555,77.358.034-0,"CARRASCO,",EMPRESA,INDIVIDUAL,DE,2025-07-24,,
71556,77.939.563-4,LIBRERIA,JUAN,PABLO,CARTES,E.I.R.L.,2025-07-24,
71557,77.450.240-8,ASESORIAS,A,EMPRESAS,LIMITADA,2025-07-24,,
71558,76.925.499-4,REKOTEC,SPA,2025-07-24,,,,
71559,77.454.915-3,GRUPO,GDR,DISEÑO,Y,COMUNICACIÓN,LIMITADA,2025-07-24
71560,77.358.879-1,KAWCHI,SPA,2025-07-24,,,,
71561,77.383.496-2,ANDREA,ORELLANA,SPA,2025-07-24,,,
71562,76.739.053-K,INSTITUTO,ENGLISH,PARTNERS,SPA,2025-07-24,,
