Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
74632,SOC,RAICES,CONSULTORES,,
74633,77.578.157-2,CINEMATOGRÁFICA,RAPANUI,2025-07-24,
DETROIT,QUICK,SERVICES,,,
74634,77.537.180-3,2025-07-24,,,
74635,78.069.378-9,KRETSCHMAR,FOLATRE,E.I.R.,2025-07-24
VALDIVIA,FOOT,MEDICAL,,,
74636,77.495.949-1,2025-07-24,,,
74637,77.600.549-5,2025-07-24,,,
SOCIEDAD,COMERCIAL,SAN,,,
74638,76.888.646-6,2025-07-24,,,
SEBASTIAN,Y,COMPAÑIA,SPA,,
74639,77.751.064-9,INGEFOR,LIMITADA,2025-07-24,
SERVICIO,A,LA,GESTIÓN,,
74640,78.070.452-7,2025-07-24,,,
SANTA,SIMONA,SPA,,,
74641,77.578.928-K,FRIDA,SPA,2025-07-24,
74642,77.496.074-0,ENC,ACREDITA,SPA,2025-07-24
