Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ID,Razón,Social,,,,,,,
77.002.089-1,DENTAL,JAIME,FARFAN,E.I.R.L.,2025-07-24,,,,
44145,76.261.160-0,SOC,VILLABLANCA,Y,POLANCOLIMITADA,2025-07-24,,,
44146,77.881.486-2,COMERCIALIZADORA,JBM,SPA,2025-07-24,,,,
44147,76.289.659-1,INGENIA,SUSTENTABLE,LTDA,2025-07-24,,,,
44148,76.291.487-5,SERVICIOS,ELECTRO-MEDICA,LNP,LTDA.,2025-07-24,,,
INGENIERIA,CIVIL,FELIPE,YOSHIRO,JUJIHARA,ESCUDERO,E.I.,,,
44149,77.852.687-5,2025-07-24,,,,,,,
44150,77.661.123-9,SOCIEDAD,COMERCIAL,Y,SERVICIOS,VEHICULARES,SPA,2025-07-24,
44151,76.228.391-3,Ingenieria,y,Sistemas,M&S,Limitada,2025-07-24,,
44152,76.291.821-8,MOLINA,&,DIAZ,SERVICIOS,DE,CAPACITACIÓN,LIMITADA,2025-07-24
44153,77.852.965-3,EQUIPOSMB,SPA,2025-07-24,,,,,
44154,77.881.609-1,INNOVACIONES,EN,CONSTRUCCION,Y,SERVICIOS,SPA,2025-07-24,
44155,76.228.711-0,Comercial,Steco,Spa,2025-07-24,,,,
