Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
77.075.844-0,MIQUEL,&,COMPAÑIA,2025-07-24,,,
SUC,RAMON,COLQUE,,,,,
57554,53.243.130-1,2025-07-24,,,,,
CARLOS,FRANCISCO,NOVOA,,,,,
57555,76.770.328-7,2025-07-24,,,,,
MUÑOZ,HOSPEDAJE,E.I.R.L.,,,,,
57556,79.715.730-9,comercial,san,pablo,ltda.,2025-07-24,
57557,77.075.964-1,VICE,SPA,2025-07-24,,,
57558,53.313.459-9,vergara,toro,luis,y,otra,2025-07-24
57559,79.728.570-6,FARMALATINA,LTDA,2025-07-24,,,
T,Y,T,MUEBLES,Y,JUGUETES,,
57560,76.048.060-6,2025-07-24,,,,,
57561,77.076.076-3,LOS,GUINDOS,SPA,2025-07-24,,
SERVISIOS,DE,MANTENCION,,,,,
57562,76.869.783-3,INDUSTRIAL,METALPROF,2025-07-24,,,
57563,76.048.719-8,2025-07-24,,,,,
57564,76.797.974-6,2025-07-24,,,,,
