Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
82001,77.860.496-5,2025-07-24,,,,,,,,
82002,77.919.529-5,FLORIDANEST,SPA,2025-07-24,,,,,,
YOGA,Y,TERAPIA,,,,,,,,
82003,77.333.344-0,MACARENA,MIRANDA,E.I.,2025-07-24,,,,,
82004,77.876.862-3,2025-07-24,,,,,,,,
82005,77.919.832-4,2025-07-24,,,,,,,,
MODDO,INGENIERIA,Y,,,,,,,,
82006,77.830.899-1,2025-07-24,,,,,,,,
REPUESTOS,Y,SERVICIOS,,,,,,,,
82007,77.333.584-2,2025-07-24,,,,,,,,
AL,TRANSPORTE,SPA,,,,,,,,
82008,96.823.070-0,2025-07-24,,,,,,,,
82009,77.928.206-6,2025-07-24,,,,,,,,
COMERCIAL,GRAN,VIA,,,,,,,,
82010,77.831.858-K,2025-07-24,,,,,,,,
