Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
83001,77.965.142-8,ÁRIDOS,GATICA,SPA,2025-07-24,,,,,
GENERAL,VENTAS,DE,,,,,,,,
TRANSPORTE,DE,CARGA,,,,,,,,
83002,77.404.269-5,2025-07-24,,,,,,,,
83003,78.042.793-0,2025-07-24,,,,,,,,
83004,77.871.149-4,INVERSIONES,SANTA,2025-07-24,,,,,,
GARCES,Y,GARCIA,,,,,,,,
83005,76.911.234-0,PLOTEOS,E,IMPRESIONES,2025-07-24,,,,,
83006,77.910.836-8,STUARDO,FERNÁNDEZ,E.I.,2025-07-24,,,,,
83007,77.871.636-4,CERIV,SPA,2025-07-24,,,,,,
83008,77.965.293-9,LINCOYAN,SPA,2025-07-24,,,,,,
