Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
74321,SOCIEDAD,AGRICOLA,Y,,,,,
COMERCIAL,FUTURO,SPA,,,,,,
74322,76.486.871-4,CONSTRUCTORA,ZAVALA,2025-07-24,,,,
ANCOR,CORREDORES,DE,,,,,,
74323,77.568.823-8,2025-07-24,,,,,,
74324,76.871.749-4,2025-07-24,,,,,,
REYES,FARIAS,SOCIEDAD,DE,,,,,
74325,77.740.858-5,2025-07-24,,,,,,
74326,77.526.294-K,RAVEN,SPA,2025-07-24,,,,
74327,77.597.183-5,JD,CORDILLERA,SPA,2025-07-24,,,
CAPACITACION,PLAY,COMP,,,,,,
74328,78.055.440-1,2025-07-24,,,,,,
74329,77.482.087-6,GO,INTEGRAL,SERVICES,SPA,2025-07-24,,
74330,77.741.475-5,DE,GESTION,DE,PERSONAS,2025-07-24,,
74331,77.526.538-8,VISTA,CAPITAL,SPA,2025-07-24,,,
74332,77.591.298-7,EL,SAZON,DE,LA,GUELI,SPA,2025-07-24
