Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
98221,MAURO,TRAVEL,,,,,,
COMERCIAL,LOS,SAUCES,,,,,,
98222,78.792.260-0,2025-07-24,,,,,,
98223,78.798.180-1,FRAGA,Y,VALDES,LTDA,2025-07-24,,
98224,78.804.570-0,MIGUEL,DIAZ,G,Y,CIA,LTDA,2025-07-24
98225,77.881.533-8,MI,DULCE,RECETA,SPA,2025-07-24,,
98226,78.807.280-5,TRANSPORTES,INSTA,LTDA,2025-07-24,,,
ASESORIAS,E,INVERSIONES,,,,,,
98227,77.881.592-3,2025-07-24,,,,,,
BUEN,AURA,SPA,,,,,,
OLMOS,Y,COMPANIA,,,,,,
98228,78.828.310-5,2025-07-24,,,,,,
98229,77.881.686-5,2025-07-24,,,,,,
SOC,MEDICA,ABDE,Y,ABDE,,,,
98230,78.833.440-0,2025-07-24,,,,,,
Y,CIA,LTDA,,,,,,
98231,77.881.758-6,SOCIEDAD,NUCLEOMED,SPA,2025-07-24,,,
98232,77.882.021-8,KUNTUR,SECURITY,SPA,2025-07-24,,,
