Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
SEGURIDAD,GRUPO,ARTE,SPA,2025-07-24,,,,
75405,AGENCIA,DE,TURISMO,ROBERTO,MORAGA,GUTIERREZ,E.I.R.L.,2025-07-24
78.104.952-,SOCIEDAD,DE,SERVICIOS,JURÍDICOS,DURÁN,Y,OYARZÚN,
75407,SERVICIOS,CLIMAPRO,SPA,2025-07-24,,,,
75408,CONSTRUCCIONES,E.E.B,SPA,2025-07-24,,,,
75409,Medical,Biotech,SpA,2025-07-24,,,,
75410,CONSTRUCCIÓN,JOSÉ,RUBEN,BARRIA,AGUILAR,E.I.R.L.,2025-07-24,
75411,EUCLIDES,INGENIERÍA,Y,CONSTRUCCIÓN,SPA,2025-07-24,,
75412,TERRASUD,GROUP,SPA,2025-07-24,,,,
75413,BAZAR,ROMA,SPA,2025-07-24,,,,
75414,EL,SENOR,DE,LAS,PROVISIONES,SPA,2025-07-24,
75415,TRATAGUIN,KA,NEWUEN,LIMITADA,2025-07-24,,,
