Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
INGENIERIA,PIVA,SPA,,,,,
AGENCIA,DE,VIAJES,Y,,,,
84391,78.034.923-9,TRANSPORTE,2025-07-24,,,,
PATAGONIA,SUR,SPA,,,,,
84392,77.514.584-6,TASOS,OTEC,LIMITADA,2025-07-24,,
RODRÍGUEZ,Y,ORTEGA,,,,,
84393,78.026.361-K,2025-07-24,,,,,
84394,77.980.169-1,2025-07-24,,,,,
84395,77.985.561-9,DISTRIBUIDORA,BL,SPA,2025-07-24,,
84396,76.948.932-0,M,Y,M,MACOSER,SPA,2025-07-24
84397,77.980.298-1,2025-07-24,,,,,
SERVICIOS,MEDICOS,SPA,,,,,
84398,77.964.678-5,2025-07-24,,,,,
84399,76.949.348-4,2025-07-24,,,,,
SOLUCIONES,CCTV,Y,,,,,
84400,78.028.649-0,2025-07-24,,,,,
