Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
77.373.243-4,YNC,SERVICIOS,FORETALES,SPA,2025-07-24,,,
71421,77.485.693-5,TRANSPORTES,JAV-SOL,SPA,2025-07-24,,,
71422,77.338.920-9,RENTAS,LA,CASTELLANA,S,A,2025-07-24,
71423,77.350.794-5,VBC,GROUP,SPA,2025-07-24,,,
71424,77.373.724-K,ASEO,Y,SERVICIOS,GENERALES,GENESIS,SPA,2025-07-24
71425,76.918.087-7,KSC,CHILE,2025-07-24,,,,
ARTICULO,OPTICOS,KATERINE,CABERO,,,,,
71426,77.638.314-7,2025-07-24,,,,,,
71427,77.351.259-0,TRANSDASILVA,SPA,2025-07-24,,,,
71428,77.374.703-2,INVERSIONES,ZARPE,SPA,2025-07-24,,,
71429,76.918.119-9,LISIT,SPA,2025-07-24,,,,
SOC,COMERCIAL,E,INVERSIONES,LONCONAO,,,,
71430,77.638.600-6,2025-07-24,,,,,,
71431,77.933.575-5,ELAP,CONSTRUCCIONES,SPA,2025-07-24,,,
