Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
18036,Inversiones,y,Comercial,,
18037,76.309.136-8,SEGURIDAD,Y,ASEO,2025-07-24
Taskforce,Ventas,y,,,
18038,76.309.456-1,2025-07-24,,,
18039,76.309.482-0,CONSTRUCCIONES,2025-07-24,,
18040,76.309.476-6,INVERSIONES,YUSIC,S.A.,2025-07-24
18041,76.310.000-6,REVESTIMIENTOS,2025-07-24,,
ELEXEM,Y,COMPANIA,,,
18042,76.312.027-9,SERVIMONTT,spa,2025-07-24,
18043,17.359.327-9,2025-07-24,,,
18044,76.312.119-4,2025-07-24,,,
18045,76.310.435-4,VALDERRAMA,JARA,2025-07-24,
TRANSPORTES,E.,I.,R.,L.,
18046,76.301.425-8,2025-07-24,,,
