Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.843.235-8,TRANSPORTES,MAWENKO,SPA,2025-07-24,,
GRUPO,LOGISTICO,DE,,,,
99714,77.843.595-0,2025-07-24,,,,
ABASTECIMIENTO,VERSATIL,SPA,,,,
CJSV,DEFENSAS,SUR,DE,CHILE,,
99715,77.843.757-0,2025-07-24,,,,
99716,77.843.774-0,AYE,INGENIERIA,ELECTRICA,SPA,2025-07-24
ELECTRICIDAD,Y,ELECTRONICA,,,,
99717,77.843.877-1,2025-07-24,,,,
99718,77.844.078-4,MONTE,ALEGRE,SPA,2025-07-24,
LAGARDERE,TRAVEL,RETAIL,FS,,,
99719,77.844.552-2,2025-07-24,,,,
CHILE,II,SPA,,,,
99720,77.845.059-3,ENCOLSUR,SPA,2025-07-24,,
99721,77.845.411-4,PUNTO,DELICIAS,EXPRESS,SPA,2025-07-24
99722,77.845.665-6,NEW,LIFE,SPA,2025-07-24,
99723,77.845.995-7,LIFE,WORK,SPA,2025-07-24,
99724,77.846.435-7,COMERCIAL,OSSU,SPA,2025-07-24,
